object_id,scene_id,v0_3_result_field,state_type,animation_state,current_asset_reference,asset_source,ownership_status,release_status,replacement_required,artist_notes,developer_notes,blocker_status
scene.base.grid.cell.c1.r3.drop_target,cascade_sequence,base_game.cascade_steps[].dropped_cells,drop_target_cell,cascade_drop,placeholder://v0_3/scene.base.grid.cell.c1.r3.drop_target,placeholder,placeholder,pending_replacement,true,Drop-target marker for v0.3 symbol drop/refill playback.,Client renders this state from backend/runtime result payload only; not outcome authority.,replacement_asset_required;runtime_result_api_review_required
scene.base.grid.cell.c1.r3.new_symbol,cascade_sequence,base_game.cascade_steps[].new_symbols,new_symbol_cell,cascade_refill,placeholder://v0_3/scene.base.grid.cell.c1.r3.new_symbol,placeholder,placeholder,pending_replacement,true,New/refilled symbol marker for v0.3 cascade playback.,Client renders this state from backend/runtime result payload only; not outcome authority.,replacement_asset_required;runtime_result_api_review_required
scene.base.grid.cell.c1.r4.golden_overlay,golden_square_overlay,base_game.cascade_steps[].golden_squares_after,golden_square_state,golden_square_persist,placeholder://v0_3/scene.base.grid.cell.c1.r4.golden_overlay,placeholder,placeholder,pending_replacement,true,Golden-square overlay for v0.3 persistent cell state.,Client renders this state from backend/runtime result payload only; not outcome authority.,replacement_asset_required;runtime_result_api_review_required
scene.base.grid.cell.c1.r4.cascade_removed,cascade_sequence,base_game.cascade_steps[].removed_cells,cascade_removed_cell,cascade_remove,placeholder://v0_3/scene.base.grid.cell.c1.r4.cascade_removed,placeholder,placeholder,pending_replacement,true,Removed-cell marker for v0.3 cascade step playback.,Client renders this state from backend/runtime result payload only; not outcome authority.,replacement_asset_required;runtime_result_api_review_required
scene.base.grid.cell.c1.r4.drop_target,cascade_sequence,base_game.cascade_steps[].dropped_cells,drop_target_cell,cascade_drop,placeholder://v0_3/scene.base.grid.cell.c1.r4.drop_target,placeholder,placeholder,pending_replacement,true,Drop-target marker for v0.3 symbol drop/refill playback.,Client renders this state from backend/runtime result payload only; not outcome authority.,replacement_asset_required;runtime_result_api_review_required
scene.base.grid.cell.c1.r4.new_symbol,cascade_sequence,base_game.cascade_steps[].new_symbols,new_symbol_cell,cascade_refill,placeholder://v0_3/scene.base.grid.cell.c1.r4.new_symbol,placeholder,placeholder,pending_replacement,true,New/refilled symbol marker for v0.3 cascade playback.,Client renders this state from backend/runtime result payload only; not outcome authority.,replacement_asset_required;runtime_result_api_review_required
scene.base.grid.cell.c1.r5.golden_overlay,golden_square_overlay,base_game.cascade_steps[].golden_squares_after,golden_square_state,golden_square_persist,placeholder://v0_3/scene.base.grid.cell.c1.r5.golden_overlay,placeholder,placeholder,pending_replacement,true,Golden-square overlay for v0.3 persistent cell state.,Client renders this state from backend/runtime result payload only; not outcome authority.,replacement_asset_required;runtime_result_api_review_required
scene.base.grid.cell.c1.r5.cascade_removed,cascade_sequence,base_game.cascade_steps[].removed_cells,cascade_removed_cell,cascade_remove,placeholder://v0_3/scene.base.grid.cell.c1.r5.cascade_removed,placeholder,placeholder,pending_replacement,true,Removed-cell marker for v0.3 cascade step playback.,Client renders this state from backend/runtime result payload only; not outcome authority.,replacement_asset_required;runtime_result_api_review_required
scene.base.grid.cell.c1.r5.drop_target,cascade_sequence,base_game.cascade_steps[].dropped_cells,drop_target_cell,cascade_drop,placeholder://v0_3/scene.base.grid.cell.c1.r5.drop_target,placeholder,placeholder,pending_replacement,true,Drop-target marker for v0.3 symbol drop/refill playback.,Client renders this state from backend/runtime result payload only; not outcome authority.,replacement_asset_required;runtime_result_api_review_required
scene.base.grid.cell.c1.r5.new_symbol,cascade_sequence,base_game.cascade_steps[].new_symbols,new_symbol_cell,cascade_refill,placeholder://v0_3/scene.base.grid.cell.c1.r5.new_symbol,placeholder,placeholder,pending_replacement,true,New/refilled symbol marker for v0.3 cascade playback.,Client renders this state from backend/runtime result payload only; not outcome authority.,replacement_asset_required;runtime_result_api_review_required
scene.base.grid.cell.c2.r1.golden_overlay,golden_square_overlay,base_game.cascade_steps[].golden_squares_after,golden_square_state,golden_square_persist,placeholder://v0_3/scene.base.grid.cell.c2.r1.golden_overlay,placeholder,placeholder,pending_replacement,true,Golden-square overlay for v0.3 persistent cell state.,Client renders this state from backend/runtime result payload only; not outcome authority.,replacement_asset_required;runtime_result_api_review_required
scene.base.grid.cell.c2.r1.cascade_removed,cascade_sequence,base_game.cascade_steps[].removed_cells,cascade_removed_cell,cascade_remove,placeholder://v0_3/scene.base.grid.cell.c2.r1.cascade_removed,placeholder,placeholder,pending_replacement,true,Removed-cell marker for v0.3 cascade step playback.,Client renders this state from backend/runtime result payload only; not outcome authority.,replacement_asset_required;runtime_result_api_review_required
scene.base.grid.cell.c2.r1.drop_target,cascade_sequence,base_game.cascade_steps[].dropped_cells,drop_target_cell,cascade_drop,placeholder://v0_3/scene.base.grid.cell.c2.r1.drop_target,placeholder,placeholder,pending_replacement,true,Drop-target marker for v0.3 symbol drop/refill playback.,Client renders this state from backend/runtime result payload only; not outcome authority.,replacement_asset_required;runtime_result_api_review_required
scene.base.grid.cell.c2.r1.new_symbol,cascade_sequence,base_game.cascade_steps[].new_symbols,new_symbol_cell,cascade_refill,placeholder://v0_3/scene.base.grid.cell.c2.r1.new_symbol,placeholder,placeholder,pending_replacement,true,New/refilled symbol marker for v0.3 cascade playback.,Client renders this state from backend/runtime result payload only; not outcome authority.,replacement_asset_required;runtime_result_api_review_required
scene.base.grid.cell.c2.r2.golden_overlay,golden_square_overlay,base_game.cascade_steps[].golden_squares_after,golden_square_state,golden_square_persist,placeholder://v0_3/scene.base.grid.cell.c2.r2.golden_overlay,placeholder,placeholder,pending_replacement,true,Golden-square overlay for v0.3 persistent cell state.,Client renders this state from backend/runtime result payload only; not outcome authority.,replacement_asset_required;runtime_result_api_review_required
scene.base.grid.cell.c2.r2.cascade_removed,cascade_sequence,base_game.cascade_steps[].removed_cells,cascade_removed_cell,cascade_remove,placeholder://v0_3/scene.base.grid.cell.c2.r2.cascade_removed,placeholder,placeholder,pending_replacement,true,Removed-cell marker for v0.3 cascade step playback.,Client renders this state from backend/runtime result payload only; not outcome authority.,replacement_asset_required;runtime_result_api_review_required
scene.base.grid.cell.c2.r2.drop_target,cascade_sequence,base_game.cascade_steps[].dropped_cells,drop_target_cell,cascade_drop,placeholder://v0_3/scene.base.grid.cell.c2.r2.drop_target,placeholder,placeholder,pending_replacement,true,Drop-target marker for v0.3 symbol drop/refill playback.,Client renders this state from backend/runtime result payload only; not outcome authority.,replacement_asset_required;runtime_result_api_review_required
scene.base.grid.cell.c2.r2.new_symbol,cascade_sequence,base_game.cascade_steps[].new_symbols,new_symbol_cell,cascade_refill,placeholder://v0_3/scene.base.grid.cell.c2.r2.new_symbol,placeholder,placeholder,pending_replacement,true,New/refilled symbol marker for v0.3 cascade playback.,Client renders this state from backend/runtime result payload only; not outcome authority.,replacement_asset_required;runtime_result_api_review_required
scene.base.grid.cell.c2.r3.golden_overlay,golden_square_overlay,base_game.cascade_steps[].golden_squares_after,golden_square_state,golden_square_persist,placeholder://v0_3/scene.base.grid.cell.c2.r3.golden_overlay,placeholder,placeholder,pending_replacement,true,Golden-square overlay for v0.3 persistent cell state.,Client renders this state from backend/runtime result payload only; not outcome authority.,replacement_asset_required;runtime_result_api_review_required
scene.base.grid.cell.c2.r3.cascade_removed,cascade_sequence,base_game.cascade_steps[].removed_cells,cascade_removed_cell,cascade_remove,placeholder://v0_3/scene.base.grid.cell.c2.r3.cascade_removed,placeholder,placeholder,pending_replacement,true,Removed-cell marker for v0.3 cascade step playback.,Client renders this state from backend/runtime result payload only; not outcome authority.,replacement_asset_required;runtime_result_api_review_required
scene.base.grid.cell.c2.r3.drop_target,cascade_sequence,base_game.cascade_steps[].dropped_cells,drop_target_cell,cascade_drop,placeholder://v0_3/scene.base.grid.cell.c2.r3.drop_target,placeholder,placeholder,pending_replacement,true,Drop-target marker for v0.3 symbol drop/refill playback.,Client renders this state from backend/runtime result payload only; not outcome authority.,replacement_asset_required;runtime_result_api_review_required
scene.base.grid.cell.c2.r3.new_symbol,cascade_sequence,base_game.cascade_steps[].new_symbols,new_symbol_cell,cascade_refill,placeholder://v0_3/scene.base.grid.cell.c2.r3.new_symbol,placeholder,placeholder,pending_replacement,true,New/refilled symbol marker for v0.3 cascade playback.,Client renders this state from backend/runtime result payload only; not outcome authority.,replacement_asset_required;runtime_result_api_review_required
scene.base.grid.cell.c2.r4.golden_overlay,golden_square_overlay,base_game.cascade_steps[].golden_squares_after,golden_square_state,golden_square_persist,placeholder://v0_3/scene.base.grid.cell.c2.r4.golden_overlay,placeholder,placeholder,pending_replacement,true,Golden-square overlay for v0.3 persistent cell state.,Client renders this state from backend/runtime result payload only; not outcome authority.,replacement_asset_required;runtime_result_api_review_required
scene.base.grid.cell.c2.r4.cascade_removed,cascade_sequence,base_game.cascade_steps[].removed_cells,cascade_removed_cell,cascade_remove,placeholder://v0_3/scene.base.grid.cell.c2.r4.cascade_removed,placeholder,placeholder,pending_replacement,true,Removed-cell marker for v0.3 cascade step playback.,Client renders this state from backend/runtime result payload only; not outcome authority.,replacement_asset_required;runtime_result_api_review_required
scene.base.grid.cell.c2.r4.drop_target,cascade_sequence,base_game.cascade_steps[].dropped_cells,drop_target_cell,cascade_drop,placeholder://v0_3/scene.base.grid.cell.c2.r4.drop_target,placeholder,placeholder,pending_replacement,true,Drop-target marker for v0.3 symbol drop/refill playback.,Client renders this state from backend/runtime result payload only; not outcome authority.,replacement_asset_required;runtime_result_api_review_required
scene.base.grid.cell.c2.r4.new_symbol,cascade_sequence,base_game.cascade_steps[].new_symbols,new_symbol_cell,cascade_refill,placeholder://v0_3/scene.base.grid.cell.c2.r4.new_symbol,placeholder,placeholder,pending_replacement,true,New/refilled symbol marker for v0.3 cascade playback.,Client renders this state from backend/runtime result payload only; not outcome authority.,replacement_asset_required;runtime_result_api_review_required
scene.base.grid.cell.c2.r5.golden_overlay,golden_square_overlay,base_game.cascade_steps[].golden_squares_after,golden_square_state,golden_square_persist,placeholder://v0_3/scene.base.grid.cell.c2.r5.golden_overlay,placeholder,placeholder,pending_replacement,true,Golden-square overlay for v0.3 persistent cell state.,Client renders this state from backend/runtime result payload only; not outcome authority.,replacement_asset_required;runtime_result_api_review_required
scene.base.grid.cell.c2.r5.cascade_removed,cascade_sequence,base_game.cascade_steps[].removed_cells,cascade_removed_cell,cascade_remove,placeholder://v0_3/scene.base.grid.cell.c2.r5.cascade_removed,placeholder,placeholder,pending_replacement,true,Removed-cell marker for v0.3 cascade step playback.,Client renders this state from backend/runtime result payload only; not outcome authority.,replacement_asset_required;runtime_result_api_review_required
scene.base.grid.cell.c2.r5.drop_target,cascade_sequence,base_game.cascade_steps[].dropped_cells,drop_target_cell,cascade_drop,placeholder://v0_3/scene.base.grid.cell.c2.r5.drop_target,placeholder,placeholder,pending_replacement,true,Drop-target marker for v0.3 symbol drop/refill playback.,Client renders this state from backend/runtime result payload only; not outcome authority.,replacement_asset_required;runtime_result_api_review_required
scene.base.grid.cell.c2.r5.new_symbol,cascade_sequence,base_game.cascade_steps[].new_symbols,new_symbol_cell,cascade_refill,placeholder://v0_3/scene.base.grid.cell.c2.r5.new_symbol,placeholder,placeholder,pending_replacement,true,New/refilled symbol marker for v0.3 cascade playback.,Client renders this state from backend/runtime result payload only; not outcome authority.,replacement_asset_required;runtime_result_api_review_required
scene.base.grid.cell.c3.r1.golden_overlay,golden_square_overlay,base_game.cascade_steps[].golden_squares_after,golden_square_state,golden_square_persist,placeholder://v0_3/scene.base.grid.cell.c3.r1.golden_overlay,placeholder,placeholder,pending_replacement,true,Golden-square overlay for v0.3 persistent cell state.,Client renders this state from backend/runtime result payload only; not outcome authority.,replacement_asset_required;runtime_result_api_review_required
scene.base.grid.cell.c3.r1.cascade_removed,cascade_sequence,base_game.cascade_steps[].removed_cells,cascade_removed_cell,cascade_remove,placeholder://v0_3/scene.base.grid.cell.c3.r1.cascade_removed,placeholder,placeholder,pending_replacement,true,Removed-cell marker for v0.3 cascade step playback.,Client renders this state from backend/runtime result payload only; not outcome authority.,replacement_asset_required;runtime_result_api_review_required
scene.base.grid.cell.c3.r1.drop_target,cascade_sequence,base_game.cascade_steps[].dropped_cells,drop_target_cell,cascade_drop,placeholder://v0_3/scene.base.grid.cell.c3.r1.drop_target,placeholder,placeholder,pending_replacement,true,Drop-target marker for v0.3 symbol drop/refill playback.,Client renders this state from backend/runtime result payload only; not outcome authority.,replacement_asset_required;runtime_result_api_review_required
scene.base.grid.cell.c3.r1.new_symbol,cascade_sequence,base_game.cascade_steps[].new_symbols,new_symbol_cell,cascade_refill,placeholder://v0_3/scene.base.grid.cell.c3.r1.new_symbol,placeholder,placeholder,pending_replacement,true,New/refilled symbol marker for v0.3 cascade playback.,Client renders this state from backend/runtime result payload only; not outcome authority.,replacement_asset_required;runtime_result_api_review_required
scene.base.grid.cell.c3.r2.golden_overlay,golden_square_overlay,base_game.cascade_steps[].golden_squares_after,golden_square_state,golden_square_persist,placeholder://v0_3/scene.base.grid.cell.c3.r2.golden_overlay,placeholder,placeholder,pending_replacement,true,Golden-square overlay for v0.3 persistent cell state.,Client renders this state from backend/runtime result payload only; not outcome authority.,replacement_asset_required;runtime_result_api_review_required
scene.base.grid.cell.c3.r2.cascade_removed,cascade_sequence,base_game.cascade_steps[].removed_cells,cascade_removed_cell,cascade_remove,placeholder://v0_3/scene.base.grid.cell.c3.r2.cascade_removed,placeholder,placeholder,pending_replacement,true,Removed-cell marker for v0.3 cascade step playback.,Client renders this state from backend/runtime result payload only; not outcome authority.,replacement_asset_required;runtime_result_api_review_required
scene.base.grid.cell.c3.r2.drop_target,cascade_sequence,base_game.cascade_steps[].dropped_cells,drop_target_cell,cascade_drop,placeholder://v0_3/scene.base.grid.cell.c3.r2.drop_target,placeholder,placeholder,pending_replacement,true,Drop-target marker for v0.3 symbol drop/refill playback.,Client renders this state from backend/runtime result payload only; not outcome authority.,replacement_asset_required;runtime_result_api_review_required
scene.base.grid.cell.c3.r2.new_symbol,cascade_sequence,base_game.cascade_steps[].new_symbols,new_symbol_cell,cascade_refill,placeholder://v0_3/scene.base.grid.cell.c3.r2.new_symbol,placeholder,placeholder,pending_replacement,true,New/refilled symbol marker for v0.3 cascade playback.,Client renders this state from backend/runtime result payload only; not outcome authority.,replacement_asset_required;runtime_result_api_review_required
scene.base.grid.cell.c3.r3.golden_overlay,golden_square_overlay,base_game.cascade_steps[].golden_squares_after,golden_square_state,golden_square_persist,placeholder://v0_3/scene.base.grid.cell.c3.r3.golden_overlay,placeholder,placeholder,pending_replacement,true,Golden-square overlay for v0.3 persistent cell state.,Client renders this state from backend/runtime result payload only; not outcome authority.,replacement_asset_required;runtime_result_api_review_required
scene.base.grid.cell.c3.r3.cascade_removed,cascade_sequence,base_game.cascade_steps[].removed_cells,cascade_removed_cell,cascade_remove,placeholder://v0_3/scene.base.grid.cell.c3.r3.cascade_removed,placeholder,placeholder,pending_replacement,true,Removed-cell marker for v0.3 cascade step playback.,Client renders this state from backend/runtime result payload only; not outcome authority.,replacement_asset_required;runtime_result_api_review_required
scene.base.grid.cell.c3.r3.drop_target,cascade_sequence,base_game.cascade_steps[].dropped_cells,drop_target_cell,cascade_drop,placeholder://v0_3/scene.base.grid.cell.c3.r3.drop_target,placeholder,placeholder,pending_replacement,true,Drop-target marker for v0.3 symbol drop/refill playback.,Client renders this state from backend/runtime result payload only; not outcome authority.,replacement_asset_required;runtime_result_api_review_required
scene.base.grid.cell.c3.r3.new_symbol,cascade_sequence,base_game.cascade_steps[].new_symbols,new_symbol_cell,cascade_refill,placeholder://v0_3/scene.base.grid.cell.c3.r3.new_symbol,placeholder,placeholder,pending_replacement,true,New/refilled symbol marker for v0.3 cascade playback.,Client renders this state from backend/runtime result payload only; not outcome authority.,replacement_asset_required;runtime_result_api_review_required
scene.base.grid.cell.c3.r4.golden_overlay,golden_square_overlay,base_game.cascade_steps[].golden_squares_after,golden_square_state,golden_square_persist,placeholder://v0_3/scene.base.grid.cell.c3.r4.golden_overlay,placeholder,placeholder,pending_replacement,true,Golden-square overlay for v0.3 persistent cell state.,Client renders this state from backend/runtime result payload only; not outcome authority.,replacement_asset_required;runtime_result_api_review_required
scene.base.grid.cell.c3.r4.cascade_removed,cascade_sequence,base_game.cascade_steps[].removed_cells,cascade_removed_cell,cascade_remove,placeholder://v0_3/scene.base.grid.cell.c3.r4.cascade_removed,placeholder,placeholder,pending_replacement,true,Removed-cell marker for v0.3 cascade step playback.,Client renders this state from backend/runtime result payload only; not outcome authority.,replacement_asset_required;runtime_result_api_review_required
scene.base.grid.cell.c3.r4.drop_target,cascade_sequence,base_game.cascade_steps[].dropped_cells,drop_target_cell,cascade_drop,placeholder://v0_3/scene.base.grid.cell.c3.r4.drop_target,placeholder,placeholder,pending_replacement,true,Drop-target marker for v0.3 symbol drop/refill playback.,Client renders this state from backend/runtime result payload only; not outcome authority.,replacement_asset_required;runtime_result_api_review_required
scene.base.grid.cell.c3.r4.new_symbol,cascade_sequence,base_game.cascade_steps[].new_symbols,new_symbol_cell,cascade_refill,placeholder://v0_3/scene.base.grid.cell.c3.r4.new_symbol,placeholder,placeholder,pending_replacement,true,New/refilled symbol marker for v0.3 cascade playback.,Client renders this state from backend/runtime result payload only; not outcome authority.,replacement_asset_required;runtime_result_api_review_required
scene.base.grid.cell.c3.r5.golden_overlay,golden_square_overlay,base_game.cascade_steps[].golden_squares_after,golden_square_state,golden_square_persist,placeholder://v0_3/scene.base.grid.cell.c3.r5.golden_overlay,placeholder,placeholder,pending_replacement,true,Golden-square overlay for v0.3 persistent cell state.,Client renders this state from backend/runtime result payload only; not outcome authority.,replacement_asset_required;runtime_result_api_review_required
scene.base.grid.cell.c3.r5.cascade_removed,cascade_sequence,base_game.cascade_steps[].removed_cells,cascade_removed_cell,cascade_remove,placeholder://v0_3/scene.base.grid.cell.c3.r5.cascade_removed,placeholder,placeholder,pending_replacement,true,Removed-cell marker for v0.3 cascade step playback.,Client renders this state from backend/runtime result payload only; not outcome authority.,replacement_asset_required;runtime_result_api_review_required
scene.base.grid.cell.c3.r5.drop_target,cascade_sequence,base_game.cascade_steps[].dropped_cells,drop_target_cell,cascade_drop,placeholder://v0_3/scene.base.grid.cell.c3.r5.drop_target,placeholder,placeholder,pending_replacement,true,Drop-target marker for v0.3 symbol drop/refill playback.,Client renders this state from backend/runtime result payload only; not outcome authority.,replacement_asset_required;runtime_result_api_review_required
scene.base.grid.cell.c3.r5.new_symbol,cascade_sequence,base_game.cascade_steps[].new_symbols,new_symbol_cell,cascade_refill,placeholder://v0_3/scene.base.grid.cell.c3.r5.new_symbol,placeholder,placeholder,pending_replacement,true,New/refilled symbol marker for v0.3 cascade playback.,Client renders this state from backend/runtime result payload only; not outcome authority.,replacement_asset_required;runtime_result_api_review_required
scene.base.grid.cell.c4.r1.golden_overlay,golden_square_overlay,base_game.cascade_steps[].golden_squares_after,golden_square_state,golden_square_persist,placeholder://v0_3/scene.base.grid.cell.c4.r1.golden_overlay,placeholder,placeholder,pending_replacement,true,Golden-square overlay for v0.3 persistent cell state.,Client renders this state from backend/runtime result payload only; not outcome authority.,replacement_asset_required;runtime_result_api_review_required
scene.base.grid.cell.c4.r1.cascade_removed,cascade_sequence,base_game.cascade_steps[].removed_cells,cascade_removed_cell,cascade_remove,placeholder://v0_3/scene.base.grid.cell.c4.r1.cascade_removed,placeholder,placeholder,pending_replacement,true,Removed-cell marker for v0.3 cascade step playback.,Client renders this state from backend/runtime result payload only; not outcome authority.,replacement_asset_required;runtime_result_api_review_required
scene.base.grid.cell.c4.r1.drop_target,cascade_sequence,base_game.cascade_steps[].dropped_cells,drop_target_cell,cascade_drop,placeholder://v0_3/scene.base.grid.cell.c4.r1.drop_target,placeholder,placeholder,pending_replacement,true,Drop-target marker for v0.3 symbol drop/refill playback.,Client renders this state from backend/runtime result payload only; not outcome authority.,replacement_asset_required;runtime_result_api_review_required
scene.base.grid.cell.c4.r1.new_symbol,cascade_sequence,base_game.cascade_steps[].new_symbols,new_symbol_cell,cascade_refill,placeholder://v0_3/scene.base.grid.cell.c4.r1.new_symbol,placeholder,placeholder,pending_replacement,true,New/refilled symbol marker for v0.3 cascade playback.,Client renders this state from backend/runtime result payload only; not outcome authority.,replacement_asset_required;runtime_result_api_review_required
scene.base.grid.cell.c4.r2.golden_overlay,golden_square_overlay,base_game.cascade_steps[].golden_squares_after,golden_square_state,golden_square_persist,placeholder://v0_3/scene.base.grid.cell.c4.r2.golden_overlay,placeholder,placeholder,pending_replacement,true,Golden-square overlay for v0.3 persistent cell state.,Client renders this state from backend/runtime result payload only; not outcome authority.,replacement_asset_required;runtime_result_api_review_required
scene.base.grid.cell.c4.r2.cascade_removed,cascade_sequence,base_game.cascade_steps[].removed_cells,cascade_removed_cell,cascade_remove,placeholder://v0_3/scene.base.grid.cell.c4.r2.cascade_removed,placeholder,placeholder,pending_replacement,true,Removed-cell marker for v0.3 cascade step playback.,Client renders this state from backend/runtime result payload only; not outcome authority.,replacement_asset_required;runtime_result_api_review_required
scene.base.grid.cell.c4.r2.drop_target,cascade_sequence,base_game.cascade_steps[].dropped_cells,drop_target_cell,cascade_drop,placeholder://v0_3/scene.base.grid.cell.c4.r2.drop_target,placeholder,placeholder,pending_replacement,true,Drop-target marker for v0.3 symbol drop/refill playback.,Client renders this state from backend/runtime result payload only; not outcome authority.,replacement_asset_required;runtime_result_api_review_required
scene.base.grid.cell.c4.r2.new_symbol,cascade_sequence,base_game.cascade_steps[].new_symbols,new_symbol_cell,cascade_refill,placeholder://v0_3/scene.base.grid.cell.c4.r2.new_symbol,placeholder,placeholder,pending_replacement,true,New/refilled symbol marker for v0.3 cascade playback.,Client renders this state from backend/runtime result payload only; not outcome authority.,replacement_asset_required;runtime_result_api_review_required
scene.base.grid.cell.c4.r3.golden_overlay,golden_square_overlay,base_game.cascade_steps[].golden_squares_after,golden_square_state,golden_square_persist,placeholder://v0_3/scene.base.grid.cell.c4.r3.golden_overlay,placeholder,placeholder,pending_replacement,true,Golden-square overlay for v0.3 persistent cell state.,Client renders this state from backend/runtime result payload only; not outcome authority.,replacement_asset_required;runtime_result_api_review_required
scene.base.grid.cell.c4.r3.cascade_removed,cascade_sequence,base_game.cascade_steps[].removed_cells,cascade_removed_cell,cascade_remove,placeholder://v0_3/scene.base.grid.cell.c4.r3.cascade_removed,placeholder,placeholder,pending_replacement,true,Removed-cell marker for v0.3 cascade step playback.,Client renders this state from backend/runtime result payload only; not outcome authority.,replacement_asset_required;runtime_result_api_review_required
scene.base.grid.cell.c4.r3.drop_target,cascade_sequence,base_game.cascade_steps[].dropped_cells,drop_target_cell,cascade_drop,placeholder://v0_3/scene.base.grid.cell.c4.r3.drop_target,placeholder,placeholder,pending_replacement,true,Drop-target marker for v0.3 symbol drop/refill playback.,Client renders this state from backend/runtime result payload only; not outcome authority.,replacement_asset_required;runtime_result_api_review_required
scene.base.grid.cell.c4.r3.new_symbol,cascade_sequence,base_game.cascade_steps[].new_symbols,new_symbol_cell,cascade_refill,placeholder://v0_3/scene.base.grid.cell.c4.r3.new_symbol,placeholder,placeholder,pending_replacement,true,New/refilled symbol marker for v0.3 cascade playback.,Client renders this state from backend/runtime result payload only; not outcome authority.,replacement_asset_required;runtime_result_api_review_required
scene.base.grid.cell.c4.r4.golden_overlay,golden_square_overlay,base_game.cascade_steps[].golden_squares_after,golden_square_state,golden_square_persist,placeholder://v0_3/scene.base.grid.cell.c4.r4.golden_overlay,placeholder,placeholder,pending_replacement,true,Golden-square overlay for v0.3 persistent cell state.,Client renders this state from backend/runtime result payload only; not outcome authority.,replacement_asset_required;runtime_result_api_review_required
