object_id,scene_id,current_asset_reference,asset_source,ownership_status,release_status,replacement_required,art_direction_status,replacement_priority,replacement_asset_target,artist_notes
scene.base.grid.cell.c2.r2,scene.base.grid,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,scaffold_internal_only,critical,lg_base_grid_cell_c2_r2_original_grid_frame_or_cell_asset,"Replace with original 6x5 neon heist-board frame, cell treatment, and cluster-highlight overlay."
scene.base.grid.cell.c2.r3,scene.base.grid,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,scaffold_internal_only,critical,lg_base_grid_cell_c2_r3_original_grid_frame_or_cell_asset,"Replace with original 6x5 neon heist-board frame, cell treatment, and cluster-highlight overlay."
scene.base.grid.cell.c2.r4,scene.base.grid,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,scaffold_internal_only,critical,lg_base_grid_cell_c2_r4_original_grid_frame_or_cell_asset,"Replace with original 6x5 neon heist-board frame, cell treatment, and cluster-highlight overlay."
scene.base.grid.cell.c2.r5,scene.base.grid,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,scaffold_internal_only,critical,lg_base_grid_cell_c2_r5_original_grid_frame_or_cell_asset,"Replace with original 6x5 neon heist-board frame, cell treatment, and cluster-highlight overlay."
scene.base.grid.cell.c3.r1,scene.base.grid,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,scaffold_internal_only,critical,lg_base_grid_cell_c3_r1_original_grid_frame_or_cell_asset,"Replace with original 6x5 neon heist-board frame, cell treatment, and cluster-highlight overlay."
scene.base.grid.cell.c3.r2,scene.base.grid,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,scaffold_internal_only,critical,lg_base_grid_cell_c3_r2_original_grid_frame_or_cell_asset,"Replace with original 6x5 neon heist-board frame, cell treatment, and cluster-highlight overlay."
scene.base.grid.cell.c3.r3,scene.base.grid,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,scaffold_internal_only,critical,lg_base_grid_cell_c3_r3_original_grid_frame_or_cell_asset,"Replace with original 6x5 neon heist-board frame, cell treatment, and cluster-highlight overlay."
scene.base.grid.cell.c3.r4,scene.base.grid,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,scaffold_internal_only,critical,lg_base_grid_cell_c3_r4_original_grid_frame_or_cell_asset,"Replace with original 6x5 neon heist-board frame, cell treatment, and cluster-highlight overlay."
scene.base.grid.cell.c3.r5,scene.base.grid,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,scaffold_internal_only,critical,lg_base_grid_cell_c3_r5_original_grid_frame_or_cell_asset,"Replace with original 6x5 neon heist-board frame, cell treatment, and cluster-highlight overlay."
scene.base.grid.cell.c4.r1,scene.base.grid,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,scaffold_internal_only,critical,lg_base_grid_cell_c4_r1_original_grid_frame_or_cell_asset,"Replace with original 6x5 neon heist-board frame, cell treatment, and cluster-highlight overlay."
scene.base.grid.cell.c4.r2,scene.base.grid,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,scaffold_internal_only,critical,lg_base_grid_cell_c4_r2_original_grid_frame_or_cell_asset,"Replace with original 6x5 neon heist-board frame, cell treatment, and cluster-highlight overlay."
scene.base.grid.cell.c4.r3,scene.base.grid,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,scaffold_internal_only,critical,lg_base_grid_cell_c4_r3_original_grid_frame_or_cell_asset,"Replace with original 6x5 neon heist-board frame, cell treatment, and cluster-highlight overlay."
scene.base.grid.cell.c4.r4,scene.base.grid,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,scaffold_internal_only,critical,lg_base_grid_cell_c4_r4_original_grid_frame_or_cell_asset,"Replace with original 6x5 neon heist-board frame, cell treatment, and cluster-highlight overlay."
scene.base.grid.cell.c4.r5,scene.base.grid,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,scaffold_internal_only,critical,lg_base_grid_cell_c4_r5_original_grid_frame_or_cell_asset,"Replace with original 6x5 neon heist-board frame, cell treatment, and cluster-highlight overlay."
scene.base.grid.cell.c5.r1,scene.base.grid,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,scaffold_internal_only,critical,lg_base_grid_cell_c5_r1_original_grid_frame_or_cell_asset,"Replace with original 6x5 neon heist-board frame, cell treatment, and cluster-highlight overlay."
scene.base.grid.cell.c5.r2,scene.base.grid,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,scaffold_internal_only,critical,lg_base_grid_cell_c5_r2_original_grid_frame_or_cell_asset,"Replace with original 6x5 neon heist-board frame, cell treatment, and cluster-highlight overlay."
scene.base.grid.cell.c5.r3,scene.base.grid,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,scaffold_internal_only,critical,lg_base_grid_cell_c5_r3_original_grid_frame_or_cell_asset,"Replace with original 6x5 neon heist-board frame, cell treatment, and cluster-highlight overlay."
scene.base.grid.cell.c5.r4,scene.base.grid,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,scaffold_internal_only,critical,lg_base_grid_cell_c5_r4_original_grid_frame_or_cell_asset,"Replace with original 6x5 neon heist-board frame, cell treatment, and cluster-highlight overlay."
scene.base.grid.cell.c5.r5,scene.base.grid,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,scaffold_internal_only,critical,lg_base_grid_cell_c5_r5_original_grid_frame_or_cell_asset,"Replace with original 6x5 neon heist-board frame, cell treatment, and cluster-highlight overlay."
scene.base.grid.cell.c6.r1,scene.base.grid,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,scaffold_internal_only,critical,lg_base_grid_cell_c6_r1_original_grid_frame_or_cell_asset,"Replace with original 6x5 neon heist-board frame, cell treatment, and cluster-highlight overlay."
scene.base.grid.cell.c6.r2,scene.base.grid,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,scaffold_internal_only,critical,lg_base_grid_cell_c6_r2_original_grid_frame_or_cell_asset,"Replace with original 6x5 neon heist-board frame, cell treatment, and cluster-highlight overlay."
scene.base.grid.cell.c6.r3,scene.base.grid,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,scaffold_internal_only,critical,lg_base_grid_cell_c6_r3_original_grid_frame_or_cell_asset,"Replace with original 6x5 neon heist-board frame, cell treatment, and cluster-highlight overlay."
scene.base.grid.cell.c6.r4,scene.base.grid,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,scaffold_internal_only,critical,lg_base_grid_cell_c6_r4_original_grid_frame_or_cell_asset,"Replace with original 6x5 neon heist-board frame, cell treatment, and cluster-highlight overlay."
scene.base.grid.cell.c6.r5,scene.base.grid,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,scaffold_internal_only,critical,lg_base_grid_cell_c6_r5_original_grid_frame_or_cell_asset,"Replace with original 6x5 neon heist-board frame, cell treatment, and cluster-highlight overlay."
scene.base.grid.container,scene.base,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,scaffold_internal_only,critical,lg_base_grid_container_original_grid_frame_or_cell_asset,"Replace with original 6x5 neon heist-board frame, cell treatment, and cluster-highlight overlay."
scene.base.logo,scene.base,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_logos.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,scaffold_internal_only,medium,lg_base_logo_original_or_approved_replacement,Replace with original/internal-approved/licensed asset before release.
scene.base.panel.autoplay_button,scene.base,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,scaffold_internal_only,high,lg_base_panel_autoplay_button_original_ui_control_asset,Replace with original/internal-approved/licensed asset before release.
scene.base.panel.balance_display,scene.base,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_digits_countup.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,scaffold_internal_only,critical,lg_base_panel_balance_display_original_or_approved_replacement,Replace with original/internal-approved/licensed asset before release.
scene.base.panel.bet_decrease,scene.base,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,scaffold_internal_only,critical,lg_base_panel_bet_decrease_original_or_approved_replacement,Replace with original/internal-approved/licensed asset before release.
scene.base.panel.bet_display,scene.base,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_digits_countup.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,scaffold_internal_only,critical,lg_base_panel_bet_display_original_or_approved_replacement,Replace with original/internal-approved/licensed asset before release.
scene.base.panel.bet_increase,scene.base,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,scaffold_internal_only,critical,lg_base_panel_bet_increase_original_or_approved_replacement,Replace with original/internal-approved/licensed asset before release.
scene.base.panel.buy_feature_button,scene.base,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_1/1309_1.23.0_ui_images_promotion_button.png,scaffold_reference,scaffold_internal_only,blocked_from_release,true,scaffold_internal_only,critical,lg_base_panel_buy_feature_button_original_ui_control_asset,Replace with original Start the Job bonus-buy panel and button treatment.
scene.base.panel.menu_button,scene.base,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,scaffold_internal_only,high,lg_base_panel_menu_button_original_ui_control_asset,Replace with original/internal-approved/licensed asset before release.
scene.base.panel.root,scene.base,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,scaffold_internal_only,high,lg_base_panel_root_original_or_approved_replacement,Replace with original/internal-approved/licensed asset before release.
scene.base.panel.sound_toggle,scene.base,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_sound_click.mp4,scaffold_reference,scaffold_internal_only,blocked_from_release,true,scaffold_internal_only,high,lg_base_panel_sound_toggle_original_ui_control_asset,Replace with original or licensed noir/heist music and UI SFX.
scene.base.panel.spin_button,scene.base,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,scaffold_internal_only,critical,lg_base_panel_spin_button_original_ui_control_asset,Replace with original/internal-approved/licensed asset before release.
scene.base.panel.stop_button,scene.base,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,scaffold_internal_only,critical,lg_base_panel_stop_button_original_ui_control_asset,Replace with original/internal-approved/licensed asset before release.
scene.base.panel.turbo_toggle,scene.base,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,scaffold_internal_only,high,lg_base_panel_turbo_toggle_original_ui_control_asset,Replace with original/internal-approved/licensed asset before release.
scene.base.symbol.ace.idle,scene.base.symbols,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_symbols.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,scaffold_internal_only,critical,lg_base_symbol_ace_idle_original_symbol_sprite_or_spine,Replace with original Little Gangster symbol art matching the symbol plan and cluster readability requirements.
scene.base.symbol.ace.win,scene.base.symbols,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_symbols.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,scaffold_internal_only,critical,lg_base_symbol_ace_win_original_symbol_sprite_or_spine,Replace with original Little Gangster symbol art matching the symbol plan and cluster readability requirements.
scene.base.symbol.jack.idle,scene.base.symbols,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_symbols.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,scaffold_internal_only,critical,lg_base_symbol_jack_idle_original_symbol_sprite_or_spine,Replace with original Little Gangster symbol art matching the symbol plan and cluster readability requirements.
scene.base.symbol.jack.win,scene.base.symbols,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_symbols.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,scaffold_internal_only,critical,lg_base_symbol_jack_win_original_symbol_sprite_or_spine,Replace with original Little Gangster symbol art matching the symbol plan and cluster readability requirements.
scene.base.symbol.king.idle,scene.base.symbols,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_symbols.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,scaffold_internal_only,critical,lg_base_symbol_king_idle_original_symbol_sprite_or_spine,Replace with original Little Gangster symbol art matching the symbol plan and cluster readability requirements.
scene.base.symbol.king.win,scene.base.symbols,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_symbols.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,scaffold_internal_only,critical,lg_base_symbol_king_win_original_symbol_sprite_or_spine,Replace with original Little Gangster symbol art matching the symbol plan and cluster readability requirements.
scene.base.symbol.lg_scatter.idle,scene.base.symbols,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_spine_special.json,scaffold_reference,scaffold_internal_only,blocked_from_release,true,scaffold_internal_only,critical,lg_symbol_scatter_vault_door_original,"Replace with original vault-door scatter/bonus trigger, designed for clear 6x5 cluster readability."
scene.base.symbol.lg_scatter.win,scene.base.symbols,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_spine_special.json,scaffold_reference,scaffold_internal_only,blocked_from_release,true,scaffold_internal_only,critical,lg_symbol_scatter_vault_door_original,"Replace with original vault-door scatter/bonus trigger, designed for clear 6x5 cluster readability."
scene.base.symbol.lg_wild.idle,scene.base.symbols,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_spine_wild.json,scaffold_reference,scaffold_internal_only,blocked_from_release,true,scaffold_internal_only,critical,lg_symbol_wild_neon_gangster_logo_original,"Replace with original neon Little Gangster wild logo/character badge, with idle and win animation states."
scene.base.symbol.lg_wild.win,scene.base.symbols,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_spine_wild.json,scaffold_reference,scaffold_internal_only,blocked_from_release,true,scaffold_internal_only,critical,lg_symbol_wild_neon_gangster_logo_original,"Replace with original neon Little Gangster wild logo/character badge, with idle and win animation states."
scene.base.symbol.lookout.idle,scene.base.symbols,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_symbols.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,scaffold_internal_only,critical,lg_base_symbol_lookout_idle_original_symbol_sprite_or_spine,Replace with original Little Gangster symbol art matching the symbol plan and cluster readability requirements.
scene.base.symbol.lookout.win,scene.base.symbols,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_symbols.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,scaffold_internal_only,critical,lg_base_symbol_lookout_win_original_symbol_sprite_or_spine,Replace with original Little Gangster symbol art matching the symbol plan and cluster readability requirements.
scene.base.symbol.queen.idle,scene.base.symbols,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_symbols.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,scaffold_internal_only,critical,lg_base_symbol_queen_idle_original_symbol_sprite_or_spine,Replace with original Little Gangster symbol art matching the symbol plan and cluster readability requirements.
scene.base.symbol.queen.win,scene.base.symbols,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_symbols.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,scaffold_internal_only,critical,lg_base_symbol_queen_win_original_symbol_sprite_or_spine,Replace with original Little Gangster symbol art matching the symbol plan and cluster readability requirements.
scene.base.symbol.runner.idle,scene.base.symbols,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_symbols.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,scaffold_internal_only,critical,lg_base_symbol_runner_idle_original_symbol_sprite_or_spine,Replace with original Little Gangster symbol art matching the symbol plan and cluster readability requirements.
scene.base.symbol.runner.win,scene.base.symbols,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_symbols.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,scaffold_internal_only,critical,lg_base_symbol_runner_win_original_symbol_sprite_or_spine,Replace with original Little Gangster symbol art matching the symbol plan and cluster readability requirements.
scene.base.symbol.safe_cracker.idle,scene.base.symbols,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_symbols.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,scaffold_internal_only,critical,lg_base_symbol_safe_cracker_idle_original_symbol_sprite_or_spine,Replace with original Little Gangster symbol art matching the symbol plan and cluster readability requirements.
scene.base.symbol.safe_cracker.win,scene.base.symbols,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_symbols.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,scaffold_internal_only,critical,lg_base_symbol_safe_cracker_win_original_symbol_sprite_or_spine,Replace with original Little Gangster symbol art matching the symbol plan and cluster readability requirements.
scene.base.symbol.ten.idle,scene.base.symbols,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_symbols.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,scaffold_internal_only,critical,lg_base_symbol_ten_idle_original_symbol_sprite_or_spine,Replace with original Little Gangster symbol art matching the symbol plan and cluster readability requirements.
scene.base.symbol.ten.win,scene.base.symbols,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_symbols.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,scaffold_internal_only,critical,lg_base_symbol_ten_win_original_symbol_sprite_or_spine,Replace with original Little Gangster symbol art matching the symbol plan and cluster readability requirements.
scene.base.symbol.top_boss.idle,scene.base.symbols,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_symbols.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,scaffold_internal_only,critical,lg_base_symbol_top_boss_idle_original_symbol_sprite_or_spine,Replace with original Little Gangster symbol art matching the symbol plan and cluster readability requirements.
scene.base.symbol.top_boss.win,scene.base.symbols,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_symbols.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,scaffold_internal_only,critical,lg_base_symbol_top_boss_win_original_symbol_sprite_or_spine,Replace with original Little Gangster symbol art matching the symbol plan and cluster readability requirements.
scene.base.win_amount,scene.base,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_digits_countup.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,scaffold_internal_only,critical,lg_base_win_amount_original_or_approved_replacement,Replace with original/internal-approved/licensed asset before release.
scene.bet_panel.max_button,scene.bet_panel,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,scaffold_internal_only,medium,lg_bet_panel_max_button_original_ui_control_asset,Replace with original/internal-approved/licensed asset before release.
scene.bet_panel.min_button,scene.bet_panel,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,scaffold_internal_only,medium,lg_bet_panel_min_button_original_ui_control_asset,Replace with original/internal-approved/licensed asset before release.
scene.bet_panel.modal.root,bet.panel,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,scaffold_internal_only,high,lg_bet_panel_modal_root_original_or_approved_replacement,Replace with original/internal-approved/licensed asset before release.
