object_id,scene_id,object_type,current_asset_reference,asset_source,ownership_status,release_status,replacement_required,dimensions,layer,z_index,notes
scene.base.grid.cell.c5.r3,scene.base.grid,grid_cell,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,0.10667x0.116,grid_cells,50,"Base-game grid cell column 5, row 3. Stable 6x5 target cell. Supplemental scaffold preview/reference mapped; blocked from release."
scene.base.grid.cell.c5.r4,scene.base.grid,grid_cell,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,0.10667x0.116,grid_cells,50,"Base-game grid cell column 5, row 4. Stable 6x5 target cell. Supplemental scaffold preview/reference mapped; blocked from release."
scene.base.grid.cell.c5.r5,scene.base.grid,grid_cell,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,0.10667x0.116,grid_cells,50,"Base-game grid cell column 5, row 5. Stable 6x5 target cell. Supplemental scaffold preview/reference mapped; blocked from release."
scene.base.grid.cell.c6.r1,scene.base.grid,grid_cell,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,0.10667x0.116,grid_cells,50,"Base-game grid cell column 6, row 1. Stable 6x5 target cell. Supplemental scaffold preview/reference mapped; blocked from release."
scene.base.grid.cell.c6.r2,scene.base.grid,grid_cell,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,0.10667x0.116,grid_cells,50,"Base-game grid cell column 6, row 2. Stable 6x5 target cell. Supplemental scaffold preview/reference mapped; blocked from release."
scene.base.grid.cell.c6.r3,scene.base.grid,grid_cell,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,0.10667x0.116,grid_cells,50,"Base-game grid cell column 6, row 3. Stable 6x5 target cell. Supplemental scaffold preview/reference mapped; blocked from release."
scene.base.grid.cell.c6.r4,scene.base.grid,grid_cell,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,0.10667x0.116,grid_cells,50,"Base-game grid cell column 6, row 4. Stable 6x5 target cell. Supplemental scaffold preview/reference mapped; blocked from release."
scene.base.grid.cell.c6.r5,scene.base.grid,grid_cell,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,0.10667x0.116,grid_cells,50,"Base-game grid cell column 6, row 5. Stable 6x5 target cell. Supplemental scaffold preview/reference mapped; blocked from release."
scene.base.grid.container,scene.base,6x5_grid_container,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,0.64x0.58,grid_frame,40,Selected v0.2 6x5 cluster grid container. Supplemental scaffold preview/reference mapped; blocked from release.
scene.base.logo,scene.base,logo,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_logos.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,0.28x0.08,foreground,20,Logo placement placeholder. Supplemental scaffold preview/reference mapped; blocked from release.
scene.base.panel.autoplay_button,scene.base,autoplay_button,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,0.055x0.08,ui_controls,135,Autoplay entry placeholder; execution not observed. Supplemental scaffold preview/reference mapped; blocked from release.
scene.base.panel.balance_display,scene.base,balance_display_placeholder,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_digits_countup.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,0.15x0.06,ui_panel,120,"Display-only balance area. Wallet/accounting owned by GS/wallet, not browser math. Supplemental scaffold preview/reference mapped; blocked from release."
scene.base.panel.bet_decrease,scene.base,bet_stepper,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,0.03x0.06,ui_controls,125,Bet decrease control placeholder. Supplemental scaffold preview/reference mapped; blocked from release.
scene.base.panel.bet_display,scene.base,bet_display,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_digits_countup.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,0.12x0.06,ui_panel,121,Bet display uses validated runtime bet state. Supplemental scaffold preview/reference mapped; blocked from release.
scene.base.panel.bet_increase,scene.base,bet_stepper,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,0.03x0.06,ui_controls,126,Bet increase control placeholder. Supplemental scaffold preview/reference mapped; blocked from release.
scene.base.panel.buy_feature_button,scene.base,buy_feature_button,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_1/1309_1.23.0_ui_images_promotion_button.png,scaffold_reference,scaffold_internal_only,blocked_from_release,true,0.11x0.13,ui_controls,132,Bonus buy entry button. Feature is provisional and requires product/math review. Supplemental scaffold preview/reference mapped; blocked from release.
scene.base.panel.menu_button,scene.base,menu_button,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,0.055x0.08,ui_controls,133,Menu/settings entry placeholder. Supplemental scaffold preview/reference mapped; blocked from release.
scene.base.panel.root,scene.base,control_panel,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,0.88x0.18,ui_panel,100,Bottom control panel placeholder. Supplemental scaffold preview/reference mapped; blocked from release.
scene.base.panel.sound_toggle,scene.base,sound_toggle,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_sound_click.mp4,scaffold_reference,scaffold_internal_only,blocked_from_release,true,0.055x0.07,ui_controls,134,Sound toggle placeholder. Supplemental scaffold preview/reference mapped; blocked from release.
scene.base.panel.spin_button,scene.base,spin_button,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,0.1x0.13,ui_controls,130,Main spin button placeholder. Enabled by runtime state only. Supplemental scaffold preview/reference mapped; blocked from release.
scene.base.panel.stop_button,scene.base,stop_button_optional,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,0.07x0.11,ui_controls,131,Optional stop/quick-stop button placeholder; final behavior pending runtime UX. Supplemental scaffold preview/reference mapped; blocked from release.
scene.base.panel.turbo_toggle,scene.base,turbo_toggle,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,0.055x0.07,ui_controls,136,"Turbo toggle placeholder; labels observed, behavior not tested. Supplemental scaffold preview/reference mapped; blocked from release."
scene.base.symbol.ace.idle,scene.base.symbols,symbol,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_symbols.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,0.10667x0.116,symbols,60,ACE idle art/animation placeholder. Original replacement required. Supplemental scaffold preview/reference mapped; blocked from release.
scene.base.symbol.ace.win,scene.base.symbols,symbol,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_symbols.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,0.10667x0.116,symbols,60,ACE win art/animation placeholder. Original replacement required. Supplemental scaffold preview/reference mapped; blocked from release.
scene.base.symbol.jack.idle,scene.base.symbols,symbol,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_symbols.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,0.10667x0.116,symbols,60,JACK idle art/animation placeholder. Original replacement required. Supplemental scaffold preview/reference mapped; blocked from release.
scene.base.symbol.jack.win,scene.base.symbols,symbol,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_symbols.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,0.10667x0.116,symbols,60,JACK win art/animation placeholder. Original replacement required. Supplemental scaffold preview/reference mapped; blocked from release.
scene.base.symbol.king.idle,scene.base.symbols,symbol,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_symbols.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,0.10667x0.116,symbols,60,KING idle art/animation placeholder. Original replacement required. Supplemental scaffold preview/reference mapped; blocked from release.
scene.base.symbol.king.win,scene.base.symbols,symbol,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_symbols.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,0.10667x0.116,symbols,60,KING win art/animation placeholder. Original replacement required. Supplemental scaffold preview/reference mapped; blocked from release.
scene.base.symbol.lg_scatter.idle,scene.base.symbols,scatter,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_spine_special.json,scaffold_reference,scaffold_internal_only,blocked_from_release,true,0.10667x0.116,symbols,60,LG_SCATTER idle art/animation placeholder. Original replacement required. Supplemental scaffold preview/reference mapped; blocked from release.
scene.base.symbol.lg_scatter.win,scene.base.symbols,scatter,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_spine_special.json,scaffold_reference,scaffold_internal_only,blocked_from_release,true,0.10667x0.116,symbols,60,LG_SCATTER win art/animation placeholder. Original replacement required. Supplemental scaffold preview/reference mapped; blocked from release.
scene.base.symbol.lg_wild.idle,scene.base.symbols,wild,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_spine_wild.json,scaffold_reference,scaffold_internal_only,blocked_from_release,true,0.10667x0.116,symbols,60,LG_WILD idle art/animation placeholder. Original replacement required. Supplemental scaffold preview/reference mapped; blocked from release.
scene.base.symbol.lg_wild.win,scene.base.symbols,wild,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_spine_wild.json,scaffold_reference,scaffold_internal_only,blocked_from_release,true,0.10667x0.116,symbols,60,LG_WILD win art/animation placeholder. Original replacement required. Supplemental scaffold preview/reference mapped; blocked from release.
scene.base.symbol.lookout.idle,scene.base.symbols,symbol,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_symbols.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,0.10667x0.116,symbols,60,LOOKOUT idle art/animation placeholder. Original replacement required. Supplemental scaffold preview/reference mapped; blocked from release.
scene.base.symbol.lookout.win,scene.base.symbols,symbol,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_symbols.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,0.10667x0.116,symbols,60,LOOKOUT win art/animation placeholder. Original replacement required. Supplemental scaffold preview/reference mapped; blocked from release.
scene.base.symbol.queen.idle,scene.base.symbols,symbol,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_symbols.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,0.10667x0.116,symbols,60,QUEEN idle art/animation placeholder. Original replacement required. Supplemental scaffold preview/reference mapped; blocked from release.
scene.base.symbol.queen.win,scene.base.symbols,symbol,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_symbols.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,0.10667x0.116,symbols,60,QUEEN win art/animation placeholder. Original replacement required. Supplemental scaffold preview/reference mapped; blocked from release.
scene.base.symbol.runner.idle,scene.base.symbols,symbol,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_symbols.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,0.10667x0.116,symbols,60,RUNNER idle art/animation placeholder. Original replacement required. Supplemental scaffold preview/reference mapped; blocked from release.
scene.base.symbol.runner.win,scene.base.symbols,symbol,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_symbols.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,0.10667x0.116,symbols,60,RUNNER win art/animation placeholder. Original replacement required. Supplemental scaffold preview/reference mapped; blocked from release.
scene.base.symbol.safe_cracker.idle,scene.base.symbols,symbol,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_symbols.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,0.10667x0.116,symbols,60,SAFE_CRACKER idle art/animation placeholder. Original replacement required. Supplemental scaffold preview/reference mapped; blocked from release.
scene.base.symbol.safe_cracker.win,scene.base.symbols,symbol,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_symbols.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,0.10667x0.116,symbols,60,SAFE_CRACKER win art/animation placeholder. Original replacement required. Supplemental scaffold preview/reference mapped; blocked from release.
scene.base.symbol.ten.idle,scene.base.symbols,symbol,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_symbols.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,0.10667x0.116,symbols,60,TEN idle art/animation placeholder. Original replacement required. Supplemental scaffold preview/reference mapped; blocked from release.
scene.base.symbol.ten.win,scene.base.symbols,symbol,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_symbols.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,0.10667x0.116,symbols,60,TEN win art/animation placeholder. Original replacement required. Supplemental scaffold preview/reference mapped; blocked from release.
scene.base.symbol.top_boss.idle,scene.base.symbols,symbol,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_symbols.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,0.10667x0.116,symbols,60,TOP_BOSS idle art/animation placeholder. Original replacement required. Supplemental scaffold preview/reference mapped; blocked from release.
scene.base.symbol.top_boss.win,scene.base.symbols,symbol,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_symbols.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,0.10667x0.116,symbols,60,TOP_BOSS win art/animation placeholder. Original replacement required. Supplemental scaffold preview/reference mapped; blocked from release.
scene.base.win_amount,scene.base,win_amount_display,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_digits_countup.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,0.16x0.05,ui_overlay,150,Win amount display driven by backend-authored result totalWin. Supplemental scaffold preview/reference mapped; blocked from release.
scene.bet_panel.max_button,scene.bet_panel,bet_button,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,0.1x0.08,modal_controls,221,High/max bet selection placeholder. Supplemental scaffold preview/reference mapped; blocked from release.
scene.bet_panel.min_button,scene.bet_panel,bet_button,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,0.1x0.08,modal_controls,220,Minimum/low bet selection placeholder. Supplemental scaffold preview/reference mapped; blocked from release.
scene.bet_panel.modal.root,bet.panel,bet_panel,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,0.5x0.58,modal,200,Bet selection panel placeholder. Supplemental scaffold preview/reference mapped; blocked from release.
scene.big_win.counter.amount,scene.big_win,big_win_counter,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_spine_win_tiers.json,scaffold_reference,scaffold_internal_only,blocked_from_release,true,0.4x0.14,feature_overlay,230,Big win counter amount display. Supplemental scaffold preview/reference mapped; blocked from release.
scene.big_win.overlay.root,big.win.scene,big_win_overlay,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_spine_win_tiers.json,scaffold_reference,scaffold_internal_only,blocked_from_release,true,0.5x0.58,modal,200,Big/mega/epic win overlay placeholder. Thresholds pending product tuning. Supplemental scaffold preview/reference mapped; blocked from release.
