canonical_result_field,referenced_field,referenced_in_file,status,classification,patch_applied,notes
base_game.cascade_steps[].dropped_cells,base_game.cascade_steps[].dropped_cells,05_art/v0_3_animation_state_map.json,matched_after_patch,matched,false,Canonical field present after audit patch.
base_game.cascade_steps[].dropped_cells,base_game.cascade_steps[].dropped_cells,05_art/v0_3_object_state_requirements.csv,matched_after_patch,matched,false,Canonical field present after audit patch.
base_game.golden_square_events,base_game.cascade_steps[].golden_square_events,05_art/scene_maps/golden_square_overlay.json,patched,alias_needs_documentation,true,Patched to canonical field base_game.golden_square_events.
base_game.cascade_steps[].golden_squares_after,base_game.cascade_steps[].golden_squares_after,05_art/object_id_map.json,matched_after_patch,matched,false,Canonical field present after audit patch.
base_game.cascade_steps[].golden_squares_after,base_game.cascade_steps[].golden_squares_after,05_art/scene_maps/golden_square_overlay.json,matched_after_patch,matched,false,Canonical field present after audit patch.
base_game.cascade_steps[].golden_squares_after,base_game.cascade_steps[].golden_squares_after,05_art/v0_3_object_state_requirements.csv,matched_after_patch,matched,false,Canonical field present after audit patch.
base_game.cascade_steps[].golden_squares_before,base_game.cascade_steps[].golden_squares_before,05_art/scene_maps/golden_square_overlay.json,matched_after_patch,matched,false,Canonical field present after audit patch.
base_game.cascade_steps[].new_symbols,base_game.cascade_steps[].new_symbols,05_art/object_id_map.json,matched_after_patch,matched,false,Canonical field present after audit patch.
base_game.cascade_steps[].new_symbols,base_game.cascade_steps[].new_symbols,05_art/scene_maps/cascade_sequence.json,matched_after_patch,matched,false,Canonical field present after audit patch.
base_game.cascade_steps[].new_symbols,base_game.cascade_steps[].new_symbols,05_art/v0_3_animation_state_map.json,matched_after_patch,matched,false,Canonical field present after audit patch.
base_game.cascade_steps[].new_symbols,base_game.cascade_steps[].new_symbols,05_art/v0_3_object_state_requirements.csv,matched_after_patch,matched,false,Canonical field present after audit patch.
base_game.cascade_steps[].removed_cells,base_game.cascade_steps[].removed_cells,05_art/object_id_map.json,matched_after_patch,matched,false,Canonical field present after audit patch.
base_game.cascade_steps[].removed_cells,base_game.cascade_steps[].removed_cells,05_art/scene_maps/cascade_sequence.json,matched_after_patch,matched,false,Canonical field present after audit patch.
base_game.cascade_steps[].removed_cells,base_game.cascade_steps[].removed_cells,05_art/v0_3_animation_state_map.json,matched_after_patch,matched,false,Canonical field present after audit patch.
base_game.cascade_steps[].removed_cells,base_game.cascade_steps[].removed_cells,05_art/v0_3_object_state_requirements.csv,matched_after_patch,matched,false,Canonical field present after audit patch.
base_game.clusters,base_game.clusters,05_art/object_id_map.json,matched_after_patch,matched,false,Canonical field present after audit patch.
base_game.clusters,base_game.clusters,05_art/scene_maps/base_game_grid_6x5.json,matched_after_patch,matched,false,Canonical field present after audit patch.
base_game.clusters,base_game.clusters,05_art/scene_maps/base_game_scene.json,matched_after_patch,matched,false,Canonical field present after audit patch.
base_game.coin_reveals,base_game.coin_reveals,05_art/scene_maps/base_game_grid_6x5.json,matched_after_patch,matched,false,Canonical field present after audit patch.
base_game.coin_reveals,base_game.coin_reveals,05_art/scene_maps/coin_reveal_scene.json,matched_after_patch,matched,false,Canonical field present after audit patch.
base_game.coin_reveals,base_game.coin_reveals,05_art/scene_maps/free_spins_active.json,matched_after_patch,matched,false,Canonical field present after audit patch.
base_game.coin_reveals[].cascade_index,base_game.coin_reveals[].cascade_index,05_art/scene_maps/coin_reveal_scene.json,matched_after_patch,matched,false,Canonical field present after audit patch.
base_game.coin_reveals[].cascade_index,base_game.coin_reveals[].cascade_index,05_art/v0_3_animation_state_map.json,matched_after_patch,matched,false,Canonical field present after audit patch.
base_game.coin_reveals[].position,base_game.coin_reveals[].position,05_art/scene_maps/coin_reveal_scene.json,matched_after_patch,matched,false,Canonical field present after audit patch.
base_game.coin_reveals[].position,base_game.coin_reveals[].position,05_art/v0_3_animation_state_map.json,matched_after_patch,matched,false,Canonical field present after audit patch.
base_game.coin_reveals[].source_event,base_game.coin_reveals[].source_event,05_art/scene_maps/coin_reveal_scene.json,matched_after_patch,matched,false,Canonical field present after audit patch.
base_game.coin_reveals[].tier,base_game.coin_reveals[].tier,05_art/object_id_map.json,matched_after_patch,matched,false,Canonical field present after audit patch.
base_game.coin_reveals[].tier,base_game.coin_reveals[].tier,05_art/scene_maps/coin_reveal_scene.json,matched_after_patch,matched,false,Canonical field present after audit patch.
base_game.coin_reveals[].tier,base_game.coin_reveals[].tier,05_art/v0_3_animation_state_map.json,matched_after_patch,matched,false,Canonical field present after audit patch.
base_game.coin_reveals[].tier,base_game.coin_reveals[].tier,05_art/v0_3_object_state_requirements.csv,matched_after_patch,matched,false,Canonical field present after audit patch.
base_game.coin_reveals[].value_x_bet,base_game.coin_reveals[].value_x_bet,05_art/scene_maps/coin_reveal_scene.json,matched_after_patch,matched,false,Canonical field present after audit patch.
base_game.coin_reveals[].value_x_bet,base_game.coin_reveals[].value_x_bet,05_art/v0_3_animation_state_map.json,matched_after_patch,matched,false,Canonical field present after audit patch.
base_game.feature_triggers,base_game.feature_triggers,05_art/object_id_map.json,matched_after_patch,matched,false,Canonical field present after audit patch.
base_game.feature_triggers,base_game.feature_triggers,05_art/scene_maps/base_game_grid_6x5.json,matched_after_patch,matched,false,Canonical field present after audit patch.
base_game.final_grid,base_game.final_grid,05_art/scene_maps/base_game_grid_6x5.json,matched_after_patch,matched,false,Canonical field present after audit patch.
base_game.final_grid,base_game.final_grid,05_art/scene_maps/cascade_sequence.json,matched_after_patch,matched,false,Canonical field present after audit patch.
base_game.golden_square_events,base_game.golden_square_events,05_art/html_scene_inspector/scene_inspector.js,matched_after_patch,matched,false,Canonical field present after audit patch.
base_game.golden_square_events,base_game.golden_square_events,05_art/scene_maps/free_spins_active.json,matched_after_patch,matched,false,Canonical field present after audit patch.
base_game.golden_square_events,base_game.golden_square_events,05_art/v0_3_animation_state_map.json,matched_after_patch,matched,false,Canonical field present after audit patch.
base_game.golden_square_positions,base_game.golden_square_positions,05_art/scene_maps/golden_square_overlay.json,matched_after_patch,matched,false,Canonical field present after audit patch.
base_game.golden_square_positions,base_game.golden_square_positions,05_art/v0_3_animation_state_map.json,matched_after_patch,matched,false,Canonical field present after audit patch.
base_game.golden_squares_after,base_game.golden_squares_after,05_art/html_scene_inspector/scene_inspector.js,matched_after_patch,matched,false,Canonical field present after audit patch.
base_game.golden_squares_after,base_game.golden_squares_after,05_art/scene_maps/base_game_grid_6x5.json,matched_after_patch,matched,false,Canonical field present after audit patch.
base_game.golden_squares_after,base_game.golden_squares_after,05_art/v0_3_animation_state_map.json,matched_after_patch,matched,false,Canonical field present after audit patch.
base_game.golden_squares_before,base_game.golden_squares_before,05_art/html_scene_inspector/scene_inspector.js,matched_after_patch,matched,false,Canonical field present after audit patch.
base_game.golden_squares_before,base_game.golden_squares_before,05_art/scene_maps/base_game_grid_6x5.json,matched_after_patch,matched,false,Canonical field present after audit patch.
base_game.golden_squares_before,base_game.golden_squares_before,05_art/scene_maps/golden_square_overlay.json,matched_after_patch,matched,false,Canonical field present after audit patch.
base_game.golden_squares_before,base_game.golden_squares_before,05_art/v0_3_animation_state_map.json,matched_after_patch,matched,false,Canonical field present after audit patch.
base_game.grid_before,base_game.grid_before,05_art/object_id_map.json,matched_after_patch,matched,false,Canonical field present after audit patch.
base_game.grid_before,base_game.grid_before,05_art/scene_maps/base_game_grid_6x5.json,matched_after_patch,matched,false,Canonical field present after audit patch.
base_game.grid_before,base_game.grid_before,05_art/scene_maps/base_game_scene.json,matched_after_patch,matched,false,Canonical field present after audit patch.
base_game.grid_before,base_game.grid_before,05_art/scene_maps/cascade_sequence.json,matched_after_patch,matched,false,Canonical field present after audit patch.
base_game.grid_before,base_game.grid_before,05_art/scene_maps/desktop_layout.json,matched_after_patch,matched,false,Canonical field present after audit patch.
base_game.grid_before,base_game.grid_before,05_art/scene_maps/free_spins_active.json,matched_after_patch,matched,false,Canonical field present after audit patch.
base_game.grid_before,base_game.grid_before,05_art/scene_maps/mobile_layout.json,matched_after_patch,matched,false,Canonical field present after audit patch.
base_game.persistence_scope,base_game.persistence_scope,05_art/scene_maps/golden_square_overlay.json,matched_after_patch,matched,false,Canonical field present after audit patch.
base_game.rainbow_activation_events,base_game.rainbow_activation_events,05_art/html_scene_inspector/scene_inspector.js,matched_after_patch,matched,false,Canonical field present after audit patch.
base_game.rainbow_activation_events,base_game.rainbow_activation_events,05_art/object_id_map.json,matched_after_patch,matched,false,Canonical field present after audit patch.
base_game.rainbow_activation_events,base_game.rainbow_activation_events,05_art/scene_maps/free_spins_active.json,matched_after_patch,matched,false,Canonical field present after audit patch.
base_game.rainbow_activation_events,base_game.rainbow_activation_events,05_art/scene_maps/rainbow_activation_scene.json,matched_after_patch,matched,false,Canonical field present after audit patch.
base_game.rainbow_activation_events,base_game.rainbow_activation_events,05_art/v0_3_animation_state_map.json,matched_after_patch,matched,false,Canonical field present after audit patch.
base_game.rainbow_activation_events,base_game.rainbow_activation_events,05_art/v0_3_object_state_requirements.csv,matched_after_patch,matched,false,Canonical field present after audit patch.
base_game.rainbow_positions,base_game.rainbow_positions,05_art/html_scene_inspector/scene_inspector.js,matched_after_patch,matched,false,Canonical field present after audit patch.
base_game.rainbow_positions,base_game.rainbow_positions,05_art/scene_maps/base_game_grid_6x5.json,matched_after_patch,matched,false,Canonical field present after audit patch.
base_game.rainbow_positions,base_game.rainbow_positions,05_art/scene_maps/rainbow_activation_scene.json,matched_after_patch,matched,false,Canonical field present after audit patch.
base_game.rainbow_positions,base_game.rainbow_positions,05_art/v0_3_animation_state_map.json,matched_after_patch,matched,false,Canonical field present after audit patch.
base_game.special_reveals,base_game.special_reveals,05_art/scene_maps/coin_reveal_scene.json,matched_after_patch,matched,false,Canonical field present after audit patch.
base_game.special_reveals[].confidence,base_game.special_reveals[].confidence,05_art/v0_3_animation_state_map.json,matched_after_patch,matched,false,Canonical field present after audit patch.
base_game.special_reveals[].position,base_game.special_reveals[].position,05_art/v0_3_animation_state_map.json,matched_after_patch,matched,false,Canonical field present after audit patch.
base_game.special_reveals[].reveal_type,base_game.special_reveals[].reveal_type,05_art/object_id_map.json,matched_after_patch,matched,false,Canonical field present after audit patch.
base_game.special_reveals[].reveal_type,base_game.special_reveals[].reveal_type,05_art/v0_3_animation_state_map.json,matched_after_patch,matched,false,Canonical field present after audit patch.
base_game.special_reveals[].reveal_type,base_game.special_reveals[].reveal_type,05_art/v0_3_object_state_requirements.csv,matched_after_patch,matched,false,Canonical field present after audit patch.
base_game.total_cascade_win,base_game.total_cascade_win,05_art/object_id_map.json,matched_after_patch,matched,false,Canonical field present after audit patch.
base_game.total_cascade_win,base_game.total_cascade_win,05_art/scene_maps/base_game_scene.json,matched_after_patch,matched,false,Canonical field present after audit patch.
base_game.total_cascade_win,base_game.total_cascade_win,05_art/scene_maps/cascade_sequence.json,matched_after_patch,matched,false,Canonical field present after audit patch.
base_game.total_cascade_win,base_game.total_cascade_win,05_art/v0_3_animation_state_map.json,matched_after_patch,matched,false,Canonical field present after audit patch.
base_game.total_cascade_win,base_game.total_cascade_win,05_art/v0_3_object_state_requirements.csv,matched_after_patch,matched,false,Canonical field present after audit patch.
bet,bet,05_art/object_id_map.json,matched_after_patch,matched,false,Canonical field present after audit patch.
bet,bet,05_art/scene_maps/base_game_scene.json,matched_after_patch,matched,false,Canonical field present after audit patch.
bet,bet,05_art/scene_maps/bet_panel.json,matched_after_patch,matched,false,Canonical field present after audit patch.
bonus_buy_state,bonus_buy_state,05_art/object_id_map.json,matched_after_patch,matched,false,Canonical field present after audit patch.
bonus_buy_state,bonus_buy_state,05_art/scene_maps/base_game_scene.json,matched_after_patch,matched,false,Canonical field present after audit patch.
bonus_buy_state,bonus_buy_state,05_art/scene_maps/bonus_buy_panel.json,matched_after_patch,matched,false,Canonical field present after audit patch.
bonus_buy_state.available,bonus_buy_state.available,05_art/scene_maps/bonus_buy_panel.json,matched_after_patch,matched,false,Canonical field present after audit patch.
bonus_buy_state.cost_x_bet,bonus_buy_state.cost_x_bet,05_art/html_scene_inspector/scene_inspector.js,matched_after_patch,matched,false,Canonical field present after audit patch.
bonus_buy_state.cost_x_bet,bonus_buy_state.cost_x_bet,05_art/scene_maps/bonus_buy_panel.json,matched_after_patch,matched,false,Canonical field present after audit patch.
bonus_buy_state.purchased_feature_start_state,bonus_buy_state.purchased_feature_start_state,05_art/scene_maps/bonus_buy_panel.json,matched_after_patch,matched,false,Canonical field present after audit patch.
bonus_buy_state.selected_mode,bonus_buy_state.selected_mode,05_art/html_scene_inspector/scene_inspector.js,matched_after_patch,matched,false,Canonical field present after audit patch.
bonus_buy_state.selected_mode,bonus_buy_state.selected_mode,05_art/object_id_map.json,matched_after_patch,matched,false,Canonical field present after audit patch.
bonus_buy_state.selected_mode,bonus_buy_state.selected_mode,05_art/scene_maps/bonus_buy_panel.json,matched_after_patch,matched,false,Canonical field present after audit patch.
bonus_buy_state.selected_mode,bonus_buy_state.selected_mode,05_art/scene_maps/feature_mode_selection.json,matched_after_patch,matched,false,Canonical field present after audit patch.
bonus_buy_state.selected_mode,bonus_buy_state.selected_mode,05_art/v0_3_animation_state_map.json,matched_after_patch,matched,false,Canonical field present after audit patch.
bonus_buy_state.selected_mode,bonus_buy_state.selected_mode,05_art/v0_3_object_state_requirements.csv,matched_after_patch,matched,false,Canonical field present after audit patch.
doubleUp,doubleUp,05_art/object_id_map.json,matched_after_patch,matched,false,Canonical field present after audit patch.
doubleUp,doubleUp,05_art/scene_maps/double_up_placeholder.json,matched_after_patch,matched,false,Canonical field present after audit patch.
feature_mode_state,feature_mode_state,05_art/object_id_map.json,matched_after_patch,matched,false,Canonical field present after audit patch.
feature_mode_state,feature_mode_state,05_art/scene_maps/free_spins_active.json,matched_after_patch,matched,false,Canonical field present after audit patch.
feature_mode_state,feature_mode_state,05_art/scene_maps/free_spins_outro.json,matched_after_patch,matched,false,Canonical field present after audit patch.
feature_mode_state.entry_source,feature_mode_state.entry_source,05_art/html_scene_inspector/scene_inspector.js,matched_after_patch,matched,false,Canonical field present after audit patch.
feature_mode_state.entry_source,feature_mode_state.entry_source,05_art/scene_maps/feature_mode_selection.json,matched_after_patch,matched,false,Canonical field present after audit patch.
feature_mode_state.entry_source,feature_mode_state.entry_source,05_art/scene_maps/free_spins_intro.json,matched_after_patch,matched,false,Canonical field present after audit patch.
feature_mode_state.entry_source,feature_mode_state.entry_source,05_art/v0_3_animation_state_map.json,matched_after_patch,matched,false,Canonical field present after audit patch.
feature_mode_state.feature_complete,feature_mode_state.feature_complete,05_art/scene_maps/feature_mode_selection.json,matched_after_patch,matched,false,Canonical field present after audit patch.
