object_id,scene_id,current_asset_reference,asset_source,ownership_status,release_status,replacement_required,replacement_plan,priority,notes
scene.base.grid.container,scene.base,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,"Replace with original 6x5 neon heist-board frame, cell treatment, and cluster-highlight overlay.",critical,"Internal scaffold/reference only; final asset must be original, internal-approved, or licensed."
scene.base.logo,scene.base,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_logos.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,Replace with original/internal-approved/licensed asset before release.,medium,"Internal scaffold/reference only; final asset must be original, internal-approved, or licensed."
scene.base.panel.autoplay_button,scene.base,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,Replace with original/internal-approved/licensed asset before release.,high,"Internal scaffold/reference only; final asset must be original, internal-approved, or licensed."
scene.base.panel.balance_display,scene.base,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_digits_countup.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,Replace with original/internal-approved/licensed asset before release.,critical,"Internal scaffold/reference only; final asset must be original, internal-approved, or licensed."
scene.base.panel.bet_decrease,scene.base,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,Replace with original/internal-approved/licensed asset before release.,critical,"Internal scaffold/reference only; final asset must be original, internal-approved, or licensed."
scene.base.panel.bet_display,scene.base,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_digits_countup.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,Replace with original/internal-approved/licensed asset before release.,critical,"Internal scaffold/reference only; final asset must be original, internal-approved, or licensed."
scene.base.panel.bet_increase,scene.base,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,Replace with original/internal-approved/licensed asset before release.,critical,"Internal scaffold/reference only; final asset must be original, internal-approved, or licensed."
scene.base.panel.buy_feature_button,scene.base,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_1/1309_1.23.0_ui_images_promotion_button.png,scaffold_reference,scaffold_internal_only,blocked_from_release,true,Replace with original Start the Job bonus-buy panel and button treatment.,critical,"Internal scaffold/reference only; final asset must be original, internal-approved, or licensed."
scene.base.panel.menu_button,scene.base,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,Replace with original/internal-approved/licensed asset before release.,high,"Internal scaffold/reference only; final asset must be original, internal-approved, or licensed."
scene.base.panel.root,scene.base,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,Replace with original/internal-approved/licensed asset before release.,high,"Internal scaffold/reference only; final asset must be original, internal-approved, or licensed."
scene.base.panel.sound_toggle,scene.base,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_sound_click.mp4,scaffold_reference,scaffold_internal_only,blocked_from_release,true,Replace with original or licensed noir/heist music and UI SFX.,high,"Internal scaffold/reference only; final asset must be original, internal-approved, or licensed."
scene.base.panel.spin_button,scene.base,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,Replace with original/internal-approved/licensed asset before release.,critical,"Internal scaffold/reference only; final asset must be original, internal-approved, or licensed."
scene.base.panel.stop_button,scene.base,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,Replace with original/internal-approved/licensed asset before release.,critical,"Internal scaffold/reference only; final asset must be original, internal-approved, or licensed."
scene.base.panel.turbo_toggle,scene.base,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,Replace with original/internal-approved/licensed asset before release.,high,"Internal scaffold/reference only; final asset must be original, internal-approved, or licensed."
scene.base.symbol.ace.idle,scene.base.symbols,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_symbols.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,Replace with original Little Gangster symbol art matching the symbol plan and cluster readability requirements.,critical,"Internal scaffold/reference only; final asset must be original, internal-approved, or licensed."
scene.base.symbol.ace.win,scene.base.symbols,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_symbols.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,Replace with original Little Gangster symbol art matching the symbol plan and cluster readability requirements.,critical,"Internal scaffold/reference only; final asset must be original, internal-approved, or licensed."
scene.base.symbol.jack.idle,scene.base.symbols,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_symbols.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,Replace with original Little Gangster symbol art matching the symbol plan and cluster readability requirements.,critical,"Internal scaffold/reference only; final asset must be original, internal-approved, or licensed."
scene.base.symbol.jack.win,scene.base.symbols,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_symbols.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,Replace with original Little Gangster symbol art matching the symbol plan and cluster readability requirements.,critical,"Internal scaffold/reference only; final asset must be original, internal-approved, or licensed."
scene.base.symbol.king.idle,scene.base.symbols,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_symbols.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,Replace with original Little Gangster symbol art matching the symbol plan and cluster readability requirements.,critical,"Internal scaffold/reference only; final asset must be original, internal-approved, or licensed."
scene.base.symbol.king.win,scene.base.symbols,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_symbols.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,Replace with original Little Gangster symbol art matching the symbol plan and cluster readability requirements.,critical,"Internal scaffold/reference only; final asset must be original, internal-approved, or licensed."
scene.base.symbol.lg_scatter.idle,scene.base.symbols,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_spine_special.json,scaffold_reference,scaffold_internal_only,blocked_from_release,true,"Replace with original vault-door scatter/bonus trigger, designed for clear 6x5 cluster readability.",critical,"Internal scaffold/reference only; final asset must be original, internal-approved, or licensed."
scene.base.symbol.lg_scatter.win,scene.base.symbols,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_spine_special.json,scaffold_reference,scaffold_internal_only,blocked_from_release,true,"Replace with original vault-door scatter/bonus trigger, designed for clear 6x5 cluster readability.",critical,"Internal scaffold/reference only; final asset must be original, internal-approved, or licensed."
scene.base.symbol.lg_wild.idle,scene.base.symbols,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_spine_wild.json,scaffold_reference,scaffold_internal_only,blocked_from_release,true,"Replace with original neon Little Gangster wild logo/character badge, with idle and win animation states.",critical,"Internal scaffold/reference only; final asset must be original, internal-approved, or licensed."
scene.base.symbol.lg_wild.win,scene.base.symbols,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_spine_wild.json,scaffold_reference,scaffold_internal_only,blocked_from_release,true,"Replace with original neon Little Gangster wild logo/character badge, with idle and win animation states.",critical,"Internal scaffold/reference only; final asset must be original, internal-approved, or licensed."
scene.base.symbol.lookout.idle,scene.base.symbols,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_symbols.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,Replace with original Little Gangster symbol art matching the symbol plan and cluster readability requirements.,critical,"Internal scaffold/reference only; final asset must be original, internal-approved, or licensed."
scene.base.symbol.lookout.win,scene.base.symbols,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_symbols.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,Replace with original Little Gangster symbol art matching the symbol plan and cluster readability requirements.,critical,"Internal scaffold/reference only; final asset must be original, internal-approved, or licensed."
scene.base.symbol.queen.idle,scene.base.symbols,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_symbols.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,Replace with original Little Gangster symbol art matching the symbol plan and cluster readability requirements.,critical,"Internal scaffold/reference only; final asset must be original, internal-approved, or licensed."
scene.base.symbol.queen.win,scene.base.symbols,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_symbols.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,Replace with original Little Gangster symbol art matching the symbol plan and cluster readability requirements.,critical,"Internal scaffold/reference only; final asset must be original, internal-approved, or licensed."
scene.base.symbol.runner.idle,scene.base.symbols,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_symbols.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,Replace with original Little Gangster symbol art matching the symbol plan and cluster readability requirements.,critical,"Internal scaffold/reference only; final asset must be original, internal-approved, or licensed."
scene.base.symbol.runner.win,scene.base.symbols,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_symbols.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,Replace with original Little Gangster symbol art matching the symbol plan and cluster readability requirements.,critical,"Internal scaffold/reference only; final asset must be original, internal-approved, or licensed."
scene.base.symbol.safe_cracker.idle,scene.base.symbols,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_symbols.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,Replace with original Little Gangster symbol art matching the symbol plan and cluster readability requirements.,critical,"Internal scaffold/reference only; final asset must be original, internal-approved, or licensed."
scene.base.symbol.safe_cracker.win,scene.base.symbols,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_symbols.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,Replace with original Little Gangster symbol art matching the symbol plan and cluster readability requirements.,critical,"Internal scaffold/reference only; final asset must be original, internal-approved, or licensed."
scene.base.symbol.ten.idle,scene.base.symbols,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_symbols.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,Replace with original Little Gangster symbol art matching the symbol plan and cluster readability requirements.,critical,"Internal scaffold/reference only; final asset must be original, internal-approved, or licensed."
scene.base.symbol.ten.win,scene.base.symbols,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_symbols.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,Replace with original Little Gangster symbol art matching the symbol plan and cluster readability requirements.,critical,"Internal scaffold/reference only; final asset must be original, internal-approved, or licensed."
scene.base.symbol.top_boss.idle,scene.base.symbols,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_symbols.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,Replace with original Little Gangster symbol art matching the symbol plan and cluster readability requirements.,critical,"Internal scaffold/reference only; final asset must be original, internal-approved, or licensed."
scene.base.symbol.top_boss.win,scene.base.symbols,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_symbols.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,Replace with original Little Gangster symbol art matching the symbol plan and cluster readability requirements.,critical,"Internal scaffold/reference only; final asset must be original, internal-approved, or licensed."
scene.base.win_amount,scene.base,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_digits_countup.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,Replace with original/internal-approved/licensed asset before release.,critical,"Internal scaffold/reference only; final asset must be original, internal-approved, or licensed."
scene.bet_panel.max_button,scene.bet_panel,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,Replace with original/internal-approved/licensed asset before release.,medium,"Internal scaffold/reference only; final asset must be original, internal-approved, or licensed."
scene.bet_panel.min_button,scene.bet_panel,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,Replace with original/internal-approved/licensed asset before release.,medium,"Internal scaffold/reference only; final asset must be original, internal-approved, or licensed."
scene.bet_panel.modal.root,bet.panel,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_atlas_misc.atlas,scaffold_reference,scaffold_internal_only,blocked_from_release,true,Replace with original/internal-approved/licensed asset before release.,high,"Internal scaffold/reference only; final asset must be original, internal-approved, or licensed."
scene.big_win.counter.amount,scene.big_win,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_spine_win_tiers.json,scaffold_reference,scaffold_internal_only,blocked_from_release,true,"Replace with original vault burst, money rain, and tiered win counter effects.",critical,"Internal scaffold/reference only; final asset must be original, internal-approved, or licensed."
scene.big_win.overlay.root,big.win.scene,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_3/1309_1.23.0_assets_default_common_spine_win_tiers.json,scaffold_reference,scaffold_internal_only,blocked_from_release,true,"Replace with original vault burst, money rain, and tiered win counter effects.",critical,"Internal scaffold/reference only; final asset must be original, internal-approved, or licensed."
scene.bonus_buy.panel.buy_button,scene.bonus_buy.panel,02_reference_assets/authorized_raw/playwright_20260510T094437Z/iteration_1/1309_1.23.0_ui_images_promotion_button.png,scaffold_reference,scaffold_internal_only,blocked_from_release,true,Replace with original Start the Job bonus-buy panel and button treatment.,critical,"Internal scaffold/reference only; final asset must be original, internal-approved, or licensed."
